date,session,config,training_data,lens,filters,mph,avg_g,dist_m,True Path (m),Achieved Yaw (deg),Duration (s),behaviour,runID
2026-09-02,dyn,LSTMABS_baseline_dynnoimu,"telemetry DynamicABS, etk800",baseline,IMU zeroed,60.0,0.3683,99.4258,99.45,4.5,8.33,decel channel essential,1788383765-0002
2026-09-02,dyn,LSTMABS_baseline_dynstock,dyn + corpus stock,baseline,IMU zeroed,60.0,0.2235,163.8233,163.83,2.9,10.37,invalid (IMU zeroed),1788383800-0001
2026-09-02,dyn,LSTMABS_baseline_dynstock,dyn + corpus stock,baseline,IMU zeroed,60.0,0.2247,162.9705,162.97,3.2,10.31,invalid (IMU zeroed),1788383841-0002
2026-09-02,dyn,LSTMABS_baseline_dynstocknoabs,dyn + stock + no-ABS,baseline,IMU zeroed,60.0,0.198,184.985,184.99,3.9,12.42,invalid (IMU zeroed),1788383878-0001
2026-09-02,dyn,LSTMABS_baseline_dynstocknoabs,dyn + stock + no-ABS,baseline,IMU zeroed,60.0,0.1985,184.436,184.44,3.6,12.37,invalid (IMU zeroed),1788383920-0002
2026-09-02,dyn2,LSTMABS_baseline_dynstock2,dyn + telemetry stock,baseline,peak >= 0.9,60.0,0.2481,147.6195,147.62,2.7,7.98,onset trap,1788384179-0001
2026-09-02,dyn2,LSTMABS_baseline_dynstock2,dyn + telemetry stock,baseline,peak >= 0.9,60.0,0.2496,146.6775,146.68,2.9,7.92,onset trap,1788384218-0002
2026-09-02,dyn2,LSTMABS_baseline_dynstocknoabs2,dyn + telemetry stock + corpus no_abs/no_safety,baseline,peak >= 0.9,60.0,0.8045,45.5169,45.52,1.9,3.03,blend,1788384252-0001
2026-09-02,dyn2,LSTMABS_baseline_dynstocknoabs2,dyn + telemetry stock + corpus no_abs/no_safety,baseline,peak >= 0.9,60.0,0.8411,43.5371,43.54,1.9,2.92,blend,1788384286-0002
2026-09-02,dyn2,LSTMABS_baseline_dyn,"telemetry DynamicABS, etk800",baseline,"peak >= 0.9, gy2 sensors",60.0,1.1347,32.2703,,,,modulates ~1s then locks late,1788384316-0001
2026-09-02,dyn2,LSTMABS_baseline_dyn,"telemetry DynamicABS, etk800",baseline,"peak >= 0.9, gy2 sensors",60.0,1.1149,32.8431,,,,modulates ~1s then locks late,1788384348-0002
2026-09-02,band,LSTMABS_band_g_dyn,"telemetry DynamicABS, etk800",band_g 5mph,peak >= 0.9,60.0,1.0644,34.404,34.41,4.1,2.44,grader on one controller: worse,1788387641-0001
2026-09-02,band,LSTMABS_band_g_dyn,"telemetry DynamicABS, etk800",band_g 5mph,peak >= 0.9,60.0,1.0628,34.4554,34.46,4.2,2.44,grader on one controller: worse,1788387673-0002
2026-09-02,band,LSTMABS_band_gy_dyn,"telemetry DynamicABS, etk800",band_gy 5mph,peak >= 0.9,60.0,1.0554,34.6948,34.7,2.7,2.49,,1788387702-0001
2026-09-02,band,LSTMABS_band_gy_dyn,"telemetry DynamicABS, etk800",band_gy 5mph,peak >= 0.9,60.0,1.0459,35.0118,35.01,2.5,2.5,,1788387735-0002
2026-09-02,band,LSTMABS_baseline_dyn,"telemetry DynamicABS, etk800",baseline,"peak >= 0.9, gy2 sensors",60.0,1.1304,32.3944,,,,modulates ~1s then locks late,1788387764-0001
2026-09-02,band,LSTMABS_baseline_dyn,"telemetry DynamicABS, etk800",baseline,"peak >= 0.9, gy2 sensors",60.0,1.1122,32.9227,,,,modulates ~1s then locks late,1788387797-0002
2026-09-02,bandmix,LSTMABS_band_g_mix,dyn + stock + no-ABS,band_g 5mph,peak >= 0.9,60.0,1.1585,31.607,31.61,1.8,2.3,best g so far,1788388501-0001
2026-09-02,bandmix,LSTMABS_band_g_mix,dyn + stock + no-ABS,band_g 5mph,peak >= 0.9,60.0,1.1286,32.4456,32.45,4.1,2.33,best g so far,1788388534-0002
2026-09-02,bandmix,LSTMABS_band_gy_mix,dyn + stock + no-ABS,band_gy 5mph,peak >= 0.9,60.0,1.1198,32.7002,32.7,0.8,2.46,straightest LSTM,1788388562-0001
2026-09-02,bandmix,LSTMABS_band_gy_mix,dyn + stock + no-ABS,band_gy 5mph,peak >= 0.9,60.0,1.124,32.5784,32.58,1.2,2.43,straightest LSTM,1788388595-0002
